storenum,open_date,date_super,conversion,st,County Code,Address,City,State,zipcode,store type,open_dateyear,date_super2
3298,3/2/2002,3/2/2002,0,48,167,255 FM 518,Kemah,TX,77565,Supercenter,2002,2002
3482,5/15/2002,5/15/2002,0,48,85,425 COIT ROAD,Plano,TX,75075,Supercenter,2002,2002
3518,7/17/2002,7/17/2002,1,48,479,2320 BOB BULLOCK LOOP,Laredo ,TX,78043,Supercenter,2002,2002
3274,8/14/2002,8/14/2002,1,48,439,9101 NORTH TARRANT PARKWAY,N.Richland Hills,TX,76180,Supercenter,2002,2002
3279,9/18/2002,9/18/2002,0,48,29,2100 LOOP 410 SE,San Antonio ,TX,78220,Supercenter,2002,2002
3285,9/18/2002,9/18/2002,0,48,113,621 UPTOWN BLVD,Cedar Hill,TX,75104,Supercenter,2002,2002
3500,9/18/2002,9/18/2002,0,48,201,5655 EAST SAM HOUSTON PKWY N,Houston,TX,77015,Supercenter,2002,2002
3510,9/18/2002,9/18/2002,0,48,39,1710 BROADWAY STREET,Pearland ,TX,77581,Supercenter,2002,2002
3572,3/19/2003,3/19/2003,0,48,39,10505 BROADWAY,Houston,TX,77584,Supercenter,2003,2003
3591,4/16/2003,4/16/2003,0,48,339,18700 STATE HIGHWAY 105 WEST,Conroe,TX,77356,Supercenter,2003,2003
5045,6/18/2003,6/18/2003,0,48,201,22605 TOMBALL PARKWAY,Houston,TX,77375,Supercenter,2003,2003
5080,6/18/2003,6/18/2003,0,48,439,1732 PRECINCT LINE ROAD,Hurst,TX,76054,Supercenter,2003,2003
5116,8/20/2003,8/20/2003,0,48,201,9025 SPENCER HIGHWAY,Deer Park,TX,77571,Supercenter,2003,2003
5147,8/20/2003,8/20/2003,0,48,113,1521 NORTH COCKRELL HILL ROAD,Dallas,TX,75211,Supercenter,2003,2003
3569,10/3/2003,10/3/2003,0,48,453,12900 NO. I-35 SVC RD SB,Austin,TX,78753,Supercenter,2003,2003
5092,10/29/2003,10/29/2003,0,48,121,190 EAST FM 3040,Lewisville,TX,75067,Supercenter,2003,2003
5144,10/29/2003,10/29/2003,0,48,29,8315 FM 78,San Antonio,TX,78109,Supercenter,2003,2003
5145,10/29/2003,10/29/2003,0,48,29,1603 VANCE JACKSON ROAD,San Antonio,TX,78213,Supercenter,2003,2003
5146,1/21/2004,1/21/2004,0,48,29,8030 BANDERA ROAD,San Antonio,TX,78250,Supercenter,2004,2004
5165,1/21/2004,1/21/2004,0,48,215,1421 WEST FRONTAGE ROAD,Alamo,TX,78516,Supercenter,2004,2004
5216,1/21/2004,1/21/2004,0,48,375,5730 WEST AMARILLO BLVD,Amarillo,TX,79106,Supercenter,2004,2004
5246,1/21/2004,1/21/2004,0,48,481,1255 HIGHWAY 59 LOOP,Wharton,TX,77488,Supercenter,2004,2004
5211,4/14/2004,4/14/2004,0,48,85,5001 MCKINNEY RANCH PARKWAY,McKinney,TX,75070,Supercenter,2004,2004
5287,4/14/2004,4/14/2004,0,48,201,21150 KUYKENDAHL ROAD,The Woodlands,TX,77379,Supercenter,2004,2004
5288,4/14/2004,4/14/2004,0,48,113,220 NORTH HIGHWAY 175,Seagoville,TX,75159,Supercenter,2004,2004
2980,5/19/2004,5/19/2004,0,48,439,8520 NORTH BEACH STREET,Forth Worth,TX,76137,Supercenter,2004,2004
5091,5/19/2004,5/19/2004,0,48,201,26270 NORTHWEST FREEWAY,Houston ,TX,77429,Supercenter,2004,2004
5389,7/21/2004,7/21/2004,0,48,309,600 HEWITT DRIVE,Waco,TX,76712,Supercenter,2004,2004
5210,8/25/2004,8/25/2004,0,48,85,2050 NORTH HIGHWAY 78,Wylie,TX,75098,Supercenter,2004,2004
5312,8/25/2004,8/25/2004,0,48,439,3851 AIRPORT FREEWAY,Ft. Worth ,TX,76111,Supercenter,2004,2004
5316,10/27/2004,10/27/2004,0,48,439,1401 NORTH SAGINAW BLVD,Saginaw,TX,76179,Supercenter,2004,2004
3381,1/26/2005,1/26/2005,0,48,353,407 N.E. GEORGIA AVENUE,Sweetwater,TX,79556,Supercenter,2005,2005
3384,1/26/2005,1/26/2005,0,48,117,300 WEST 15TH STREET,Hereford,TX,79045,Supercenter,2005,2005
5460,1/26/2005,1/26/2005,0,48,409,2000 US HIGHWAY 181,Portland,TX,78374,Supercenter,2005,2005
5493,1/26/2005,1/26/2005,0,48,61,7480 PADRE ISLAND BLVD,Brownsville ,TX,78521,Supercenter,2005,2005
3391,3/23/2005,3/23/2005,0,48,187,6102 FM 3009,Schertz,TX,78154,Supercenter,2005,2005
5247,3/23/2005,3/23/2005,0,48,121,1228 NORTH HIGHWAY 377,Roanoke,TX,76262,Supercenter,2005,2005
5480,3/23/2005,3/23/2005,0,48,491,4700 EAST PALM VALLEY BLVD,Round Rock ,TX,78664,Supercenter,2005,2005
3319,4/13/2005,4/13/2005,0,48,27,2020 HEIGHTS DRIVE,Harker Heights,TX,76548,Supercenter,2005,2005
3320,4/13/2005,4/13/2005,0,48,215,215 EAST MILE 3 ROAD,Palmhurst,TX,78574,Supercenter,2005,2005
5191,5/18/2005,5/18/2005,0,48,257,802 EAST HIGHWAY 80,Forney,TX,75126,Supercenter,2005,2005
5317,5/18/2005,5/18/2005,0,48,453,"9300 SOUTH IH-35 BLDG ""B""",Austin ,TX,78748,Supercenter,2005,2005
3431,8/24/2005,8/24/2005,1,48,367,2801 EAST INTERSTATE 20,Hudson Oaks,TX,76087,Supercenter,2005,2005
3383,10/26/2005,10/26/2005,0,48,381,4215 CANYON DRIVE,Amarillo ,TX,79110,Supercenter,2005,2005
3645,10/26/2005,10/26/2005,0,48,329,200 WEST INTERSTATE 20,Midland ,TX,79701,Supercenter,2005,2005
3764,10/26/2005,10/26/2005,0,48,423,105 CENTENNIAL BLVD,Lindale,TX,75771,Supercenter,2005,2005
5416,10/26/2005,10/26/2005,0,48,439,915 EAST RANDOL MILL ROAD,Arlington ,TX,76011,Supercenter,2005,2005
3302,11/2/2005,11/2/2005,0,48,201,9460 W Sam Houston Pkwy S,Houston,TX,77099,Supercenter,2005,2005
5359,1/25/2006,1/25/2006,0,48,439,721 Boyd Rd,Azle,TX,76020,Supercenter,2006,2006
3406,1/27/2006,1/27/2006,0,48,113,15220 Montfort Dr,Dallas,TX,75248,Supercenter,2006,2006
3425,1/27/2006,1/27/2006,0,48,201,9598 Rowlett Rd,Houston,TX,77034,Supercenter,2006,2006
